sa2_code21,sa2_name,earners,median_age,median_income,mean_income
125011709,Silverwater - Newington,4694,42,58967,73725
125011710,Wentworth Point - Sydney Olympic Park,12384,34,59389,69160
125021477,Ermington - Rydalmere,13831,40,56447,67507
125021478,Oatlands - Dundas Valley,10354,43,53252,69377
125021711,Carlingford - East,7111,46,50441,68294
125021712,Carlingford - West,11283,42,50750,66462
125031479,Chester Hill - Sefton,9079,40,44312,52231
125031480,Fairfield - East,6637,38,44436,49549
125031481,Granville - Clyde,13008,33,43861,51105
125031483,Guildford - South Granville,8985,36,41317,49647
125031484,Guildford West - Merrylands West,10687,37,48741,55815
125031486,Smithfield Industrial,63,49,61542,86219
125031487,Yennora Industrial,20,46,55912,52179
125031713,Greystanes - South,8887,43,56051,64735
125031714,Merrylands - Holroyd,12178,36,47368,55299
125031715,Pemulwuy - Greystanes (North),5934,42,64512,73516
125031716,South Wentworthville,3782,39,52904,61117
125041489,North Parramatta,13820,37,60308,68796
125041490,North Rocks,5097,45,60195,76002
125041491,Northmead,12343,37,62838,73276
125041493,Toongabbie - Constitution Hill,13147,41,57948,66941
125041494,Winston Hills,6595,44,63148,75686
125041588,Pendle Hill - Girraween,7697,39,58105,67715
125041589,Wentworthville - Westmead,12454,36,59547,69261
125041717,Parramatta - North,8398,33,63263,72854
125041718,Parramatta - South,6634,33,51837,61318
125041719,Rosehill - Harris Park,5909,33,50684,58089
126011496,Pennant Hills - Cheltenham,13922,47,63676,91675
126011720,Epping (East) - North Epping,9243,41,60031,79215
126011721,Epping (NSW) - West,11906,41,54472,73454
126021498,Gladesville - Huntleys Point,9745,43,72373,105888
126021499,Hunters Hill - Woolwich,6030,50,77815,167594
126021500,Macquarie Park - Marsfield,14648,37,56045,71567
126021501,North Ryde - East Ryde,9831,41,65244,84459
126021503,West Ryde - Meadowbank,13093,38,59893,71570
126021590,Putney,2789,48,67729,112367
126021722,Denistone,4386,46,58124,78031
126021723,Eastwood,11964,42,47390,91006
126021724,Ryde - North,12404,42,57564,73221
126021725,Ryde - South,7303,36,62851,76005
127011504,Ashcroft - Busby - Miller,6586,37,44813,48051
127011505,Austral - Greendale,6495,39,54758,66215
127011592,Badgerys Creek,17,37,74487,70176
127011593,Cecil Hills,3975,43,56905,67066
127011594,Green Valley,6416,40,50447,55696
127011595,Hinchinbrook,6747,40,54327,60050
127011596,Hoxton Park - Carnes Hill - Horningsea Park,6824,40,58130,63745
127011597,West Hoxton - Middleton Grange,9013,39,58344,66559
127011726,Cobbitty - Bringelly,2723,41,60739,81255
127011727,Gledswood Hills - Gregory Hills,7804,36,68544,74034
127011728,Leppington - Catherine Field,6583,37,60909,69969
127011729,Oran Park,9018,36,64911,70443
127021509,Bonnyrigg Heights - Bonnyrigg,8060,39,49750,55461
127021510,Bossley Park - Abbotsbury,9506,43,52375,65430
127021511,Cabramatta - Lansvale,11293,40,42882,47871
127021512,Cabramatta West - Mount Pritchard,8335,40,47795,52593
127021513,Canley Vale - Canley Heights,10314,39,45077,50159
127021514,Edensor Park,5100,41,51348,58496
127021515,Fairfield,6729,39,44025,49340
127021516,Fairfield - West,8326,40,45526,51354
127021517,Greenfield Park - Prairiewood,3836,41,48547,56279
127021518,Horsley Park - Kemps Creek,2638,47,57296,85987
127021519,Smithfield - Wetherill Park,8490,41,50064,56121
127021520,St Johns Park - Wakeley,5360,42,48170,55490
127021521,Wetherill Park Industrial,111,45,64566,82851
127031522,Casula,8272,41,53655,60937
127031523,Chipping Norton - Moorebank,11335,42,58585,67531
127031524,Holsworthy - Wattle Grove,12204,41,66259,74595
127031599,Lurnea - Cartwright,4629,38,45823,50012
127031601,Warwick Farm,2774,36,50800,54838
127031730,Edmondson Park,6225,37,64341,71608
127031731,Liverpool - East,8241,35,52710,57154
127031732,Liverpool - West,5639,39,46838,51933
127031733,Prestons,8501,41,57112,63340
128011529,Gymea - Grays Point,11327,46,65903,83211
128011530,Miranda - Yowie Bay,12333,43,61759,77315
128011531,Sylvania - Taren Point,9803,49,56098,81628
128011602,Caringbah,7581,41,65034,76808
128011603,Caringbah South,8210,47,66494,96095
128011604,Cronulla - Kurnell - Bundeena,16047,46,65686,89960
128011605,Lilli Pilli - Port Hacking - Dolans Bay,2266,48,68606,118326
128011606,Woolooware - Burraneer,5839,46,68094,101619
128021533,Heathcote - Waterfall,3996,45,60601,71233
128021534,Illawong - Alfords Point,6802,47,63105,81636
128021535,Menai - Lucas Heights - Woronora,13530,45,64802,78771
128021536,Oyster Bay - Como - Jannali,13395,45,67381,87683
128021537,Royal National Park,14,37,36980,47584
128021538,Sutherland - Kirrawee,13895,41,64940,74867
128021607,Engadine,10239,43,63695,72995
128021608,Loftus - Yarrawarrah,4424,45,63087,76440
128021609,Woronora Heights,2491,47,65460,82717
